29,bocheński,Nowy Wiśnicz,"Publiczna Szkoła Podstawowa im. Kardynała
Stefana Wyszyńskiego Prymasa Tysiąclecia w
Muchówce",Muchówka,,17,6,58,4,71,44,17,65,4,,,,,,0.42804056269194385
30,bocheński,Nowy Wiśnicz,Szkoła Podstawowa,Nowy Wiśnicz,Szkolna,84,18,56,4,64,48,84,66,5,,,,,,0.4432136018593593
31,bocheński,Nowy Wiśnicz,Szkoła Podstawowa,Królówka,,22,23,58,4,68,49,22,58,3,,,,,,0.407202303270304
32,bocheński,Nowy Wiśnicz,Szkoła Podstawowa,Kobyle,,19,32,60,5,71,48,19,60,3,,,,,,0.37882719853613633
33,bocheński,Rzezawa,"Zespół Szkół w Dąbrówce - Publiczna Szkoła
Podstawowa im. Prymasa Stefana Kardynała
Wyszyńskiego w Dąbrówce",Dąbrówka,,12,33,67,6,74,60,12,74,6,,,,,,0.5484511997227951
34,bocheński,Rzezawa,"Publiczna Szkoła Podstawowa im. Gen. Leopolda
Okulickiego w Okulicach",Okulice,,14,7,55,3,71,39,14,59,3,,,,,,0.3641980982586883
35,bocheński,Rzezawa,"Zespół Szkolno-Przedszkolny - Publiczna Szkoła
Podstawowa im. Św. Kingi w Borku",Borek,pi,7,14,66,6,75,57,7,64,4,,,,,,0.5045998945179424
36,bocheński,Rzezawa,"Publiczna Szkoła Podstawowa im.Św. Jana Pawła
II w Łazach",Łazy,,11,9,68,7,79,57,11,70,5,,,,,,0.5590892841771473
37,bocheński,Rzezawa,Publiczna Szkoła Podstawowa w Rzezawie,Rzezawa,Szkolna,33,6,68,7,72,64,33,79,7,,,,,,0.6121131750197646
38,bocheński,Rzezawa,"Publiczna Szkoła Podstawowa im. Janusza
Korczaka w Krzeczowie",Krzeczów,,17,6,60,5,65,55,17,64,4,,,,,,0.508836322284739
39,bocheński,Trzciana,"Publiczna Szkoła Podstawowa im. Marii
Konopnickiej w Kamionnej",Kamionna,,10,10,74,8,75,73,10,83,8,,,,,,0.7049398240869034
40,bocheński,Trzciana,"Publiczna Szkoła Podstawowa im. gen.
Władysława Andersa w Leszczynie",Leszczyna,,16,13,63,5,76,50,16,73,6,,,,,,0.5036673894126404
41,bocheński,Trzciana,Publiczna Szkoła Podstawowa,Łąkta Dolna,,9,44,69,7,65,73,9,74,6,,,,,,0.4695580143071701
42,bocheński,Trzciana,Publiczna Szkoła Podstawowa w Trzcianie,Trzciana,,9,22,65,6,74,55,9,78,7,,,,,,0.5520359323144576
43,bocheński,Trzciana,"Publiczna Szkoła Podstawowa im. Edwarda
Dembowskiego",Kierlikówka,,11,9,60,5,70,50,11,87,8,,,,,,0.44692471127917316
44,bocheński,Żegocina,"Szkoła Podstawowa im. Jana Pawła II w Łąkcie
Górnej",Łąkta Górna,,15,7,65,6,74,57,15,63,4,,,,,,0.5304105458349557
45,bocheński,Żegocina,"Szkoła Podstawowa w Rozdzielu im. Władysława
Orkana",Rozdziele,,13,0,76,8,76,76,13,80,7,,,,,,0.7284064665736615
46,bocheński,Żegocina,"Publiczna Szkoła Podstawowa im. Świętej Kingi w
Żegocinie",Żegocina,,28,21,69,7,73,65,28,78,7,,,,,,0.6512149297073364
47,bocheński,Żegocina,"Publiczna Szkoła Podstawowa im. Św. Mikołaja w
Bytomsku",Bytomsko,,12,17,61,5,68,54,12,76,6,,,,,,0.5096609899927019
48,brzeski,Borzęcin,"Publiczna Szkoła Podstawowa im. Kardynała
Stefana Wyszyńskiego w Przyborowie",Przyborów,,19,0,69,7,77,61,19,75,6,,,,,,0.6242581273054819
