Brzesko,"Katolickie Gimnazjum im. św. Stanisława BM ze Szczepanowa","Browarna 39, 32-800 Brzesko, Poland",49.9575432,20.6028737
Czchów,Publiczne Gimnazjum w Czchowie,"Szkolna 2, 32-860 Czchów, Poland",49.8355295,20.675088
Czchów,Publiczne Gimnazjum w Tworkowej,"32-863 Tworkowa, Poland",49.852968,20.6608295
Czchów,"Zespół Szkół i Przedszkola - Publiczne Gimnazjum w Złotej","32-859 Złota; 50, Poland",49.8754,20.6976799
Czchów,Publiczne Gimnazjum w Tymowej,"Tymowa, Poland",49.85276280000001,20.6154297
Czchów,Gimnazjum w Jurkowie,"150, 32-860 Jurków, Poland",49.8521322,20.691995
Dębno,"Publiczne Gimnazjum im. Władysława Reymonta w Porąbce Uszewskiej","Porąbka Uszewska 306,32-854, Porąbka Uszewska, Poland",49.930996,20.678201
Dębno,Publiczne Gimnazjum w Łysej Górze,"Łysa Góra, Poland",49.9320418,20.7354016
Dębno,"Zespół Szkół - Publiczne Gimnazjum im.
Kardynała Stefana Wyszyńskiego w Woli Dębińskiej","32-852 Wola Dębińska, Poland",49.9804544,20.6877892
Dębno,Publiczne Gimnazjum w Sufczynie,"Sufczyn 250, 32-852 Sufczyn, Poland",49.9566053,20.7517509
Dębno,"Młodzieżowy Ośrodek Socjoterapii w Łysej Górze Gimnazjum Specjalne","Łysa Góra 274, 32-853 Łysa Góra, Poland",49.93301770000001,20.7314794
Gnojnik,"Publiczne Gimnazjum im. Królowej Jadwigi w Uszwi","Uszew 205, 32-865 Uszew, Poland",49.9174291,20.6017698
Gnojnik,Publiczne Gimnazjum w Gnojniku,"DK75 336, 32-864, Poland",49.89615190000001,20.6060835
Iwkowa,Publiczne Gimnazjum w Iwkowej,"Iwkowa 525, 32-861 Iwkowa, Poland",49.8203322,20.5850148
Iwkowa,"Zespół Szkół - Publiczne Gimnazjum w Wojakowej","Wojakowa 49, 32-862 Wojakowa, Poland",49.80255589999999,20.561647
Szczurowa,"Publiczne Gimnazjum im. Jędrzeja Cierniaka w Zaborowie","63, 32-821 Zaborów, Poland",50.14754000000001,20.6887404
Szczurowa,"Publiczne Gimnazjum im. Władysława Stanisława Reymonta w Szczurowej","Szczurowa, Poland",50.1189372,20.6360481
Alwernia,Gimnazjum,"Marii Skłodowskiej-Curie 4, 32-566 Alwernia, Poland",50.0649528,19.5426553
Alwernia,Gimnazjum,"Marii Skłodowskiej-Curie 4, 32-566 Alwernia, Poland",50.0649528,19.5426553
Alwernia,Publiczne Gimnazjum,"Marii Skłodowskiej-Curie 4, 32-566 Alwernia, Poland",50.0649528,19.5426553
Babice,"Zespół Szkół w Zagórzu - Publiczne Gimnazjum im.Ks.A.Chojnackiego","Ks. Adolfa Chojnackiego, Zagórze, Poland",50.0865938,19.4043216
Babice,"Zespół Szkół Publiczne Gimnazjum im. M.
Skłodowskiej-Curie w Babicach","Zamkowa 3, 32-551 Babice, Poland",50.07258299999999,19.4442183
Babice,Publiczne Gimnazjum w Jankowicach,"32-551 Jankowice; Staszica 201, DW781, 32-551, Poland",50.0460732,19.4477706
Chrzanów,Publiczne Gimnazjum nr 2 w Chrzanowie,"Kardynała Stefana Wyszyńskiego 19, 32-500 Chrzanów, Poland",50.14221089999999,19.4171937
Chrzanów,"Publiczne Gimnazjum Nr 1 z Oddziałami Integracyjnymi im. ks. prof. Józefa Tischnera","Zielona 15, 32-500 Chrzanów, Poland",50.143921,19.412493
Chrzanów,"Publiczne Gimnazjum Nr 3 im. Króla Władysława Jagiełły w Chrzanowie","Aleja Henryka 43, 32-500 Chrzanów, Poland",50.1390878,19.4011045
Chrzanów,"Publiczne Gimnazjum nr 4 z Oddziałami Integracyjnymi w Chrzanowie","Zielona 15, 32-500 Chrzanów, Poland",50.143921,19.412493
Chrzanów,"Publiczne Gimnazjum im. Rodziny Starzeńskich w Płazie","32-552 Płaza; Wiosny Ludów 2, 32-552, Poland",50.0974776,19.4634074
Chrzanów,"Gimnazjum Fundacji Viribus Unitis im.
Św.Franciszka z Asyżu w Pogorzycach","Szymanowskiego 21, 32-500 Pogorzyce, Poland",50.1061795,19.4163782
Libiąż,"Gimnazjum im. ks. Stefana kard. Wyszyńskiego KSW w Libiążu","Heleny Kmieć 2, 32-590 Libiąż, Poland",50.09979500000001,19.309824
Libiąż,Gimnazjum nr 2 im. M. Kopernika,"32-590 Libiąż, Poland",50.1035683,19.3229905
Libiąż,"Gimnazjum Nr 1 im. Jana III Sobieskiego w Libiążu","Szkolna 1, 32-590 Libiąż, Poland",50.1031482,19.3155971
Libiąż,Zespół Szkół w Żarkach - Gimnazjum w Żarkach,"32-590 Libiąż, Poland",50.1037928,19.3156774
Trzebinia,"Gimnazjum z Oddziałami Integracyjnymi Nr 3 im.
Polskich Noblistów w Trzebini","Osiedle Związku Walki Młodych 21, 32-500 Trzebinia, Poland",50.1604053,19.4776767
Trzebinia,"Zespół Szkół Gimnazjalnych im. Trzech Wieszczów - Gimnazjum Nr 2 w Trzebini","Jana III Sobieskiego 25, 32-540 Gmina Trzebinia, Poland",50.196875,19.4233069
Trzebinia,"Gimnazjum nr 1 im. Mikołaja Kopernika w Trzebini","Szkolna 3, 32-540 Trzebinia, Poland",50.1608658,19.4666904
Trzebinia,"Zespół Szkół Gimnazjalnych im. Trzech Wieszczów - Gimnazjum dla Dorosłych w Trzebini","Jana III Sobieskiego 25, 32-540 Gmina Trzebinia, Poland",50.196875,19.4233069
Trzebinia,Publiczne Gimnazjum w Płokach,"Szkolna 6, 32-543 Płoki, Poland",50.2051758,19.5119461
"Dąbrowa Tarnowska","Publiczne Gimnazjum nr 2 im. Bohaterów Powiśla Dąbrowskiego w Dąbrowie Tarnowskiej","Zazamcze 3, 33-200 Dąbrowa Tarnowska, Poland",50.1729923,20.9790704
"Dąbrowa Tarnowska","Publiczne Gimnazjum nr 1 w Dąbrowie Tarnowskiej","33 200, Zaręby 22, 33-200 Dąbrowa Tarnowska, Poland",50.17800339999999,20.9845638
"Dąbrowa Tarnowska","Publiczne Gimnazjum nr 3 w Gruszowie Wielkim im. Kardynała Stefana Wyszyńskiego","210, 33-200 Gruszów Wielki, Poland",50.1920438,21.0333437
Gręboszów,Gimnazjum im. Stefanii Łąckiej w Gręboszowie,"Gręboszów 143, 33-260 Gręboszów, Poland",50.243457,20.7798886
Mędrzechów,"Gimnazjum im. Tadeusza Kościuszki w Mędrzechowie","33-221 Mędrzechów; 440, 33-221, Poland",50.2818099,20.9459618
Olesno,Gimnazjum im. Kardynała Stefana Wyszyńskiego,"Gmina Olesno, Poland",50.20701709999999,20.9292843
Radgoszcz,"Gimnazjum Nr 2 im. 25-lecia pontyfikatu Jana Pawła II","33-206 Luszowice; Tarnowska 31, Poland",50.1499061,21.1010492
Radgoszcz,Gimnazjum Nr 1 im. Ojca Świętego Jana Pawła II,"Gmina Radgoszcz, Poland",50.19314379999999,21.1166099
Szczucin,"Zespół Szkół w Szczucinie - Gimnazjum im.
Bohaterów Września w Szczucinie","Kościuszki 30, 33-230 Szczucin, Poland",50.3133157,21.075924
Szczucin,Gimnazjum w Borkach im. Bł. Jana Pawła II,"33-203 Borki, Poland",50.318942,21.1422219
Szczucin,Gimnazjum w Radwanie,"Kościuszki 30, 33-230 Szczucin, Poland",50.3133157,21.075924
m.Gorlice,Gimnazjum nr 1 w Miejskim Zespole Szkół nr 1,"Piękna 9, 38-300 Gorlice, Poland",49.6534941,21.1599174
m.Gorlice,"Miejski Zespół Szkół nr 4 w Gorlicach -
Gimnazjum nr 4","Piękna 9, 38-300 Gorlice, Poland",49.6534941,21.1599174
m.Gorlice,"Gimnazjum nr 6 w Miejskim Zespole Szkół nr 6 w Gorlicach im. Bohaterów Ziemi Gorlickiej","Generała Józefa Hallera 79, 38-300 Gorlice, Poland",49.66401399999999,21.1577949
m.Gorlice,"Gimnazjum nr 5 im. ks. Jana Twardowskiego w Gorlicach","Krakowska 5, 38-300 Gorlice, Poland",49.6570177,21.1529449
m.Gorlice,"Gimnazjum nr 3 w Miejskim Zespole Szkół nr 3
im. Św. Jana Kantego w Gorlicach","Kardynała Stefana Wyszyńskiego 16, 38-300 Gorlice, Poland",49.67495659999999,21.1675511
Biecz,Gimnazjum Nr 1 w Bieczu,"Grodzka 22, 38-340 Biecz, Poland",49.730721,21.2523115
Biecz,"Publiczne Gimnazjum im. prof. A. Kosiby w Libuszy","679, 38-306 Libusza, Poland",49.6946741,21.2368307
Biecz,Publiczne Gimnazjum w Strzeszynie,"Strzeszyn 391, 38-340 Biecz, Poland",49.7221319,21.2108565
Biecz,"Publiczne Gimnazjum im. Tadeusza Kościuszki w Rożnowicach","Rożnowice, Poland",49.7571217,21.1636288
Biecz,"Gimnazjum nr 2 im. Wacława Potockiego w Bieczu","ks. Bochniewicza 2, 38-340 Biecz, Poland",49.7308714,21.2464629
Bobowa,Gimnazjum w Brzanie,"38-350 Brzana; 10, 38-350, Poland",49.7185664,20.9180496
Bobowa,Gimnazjum,"Bohaterów Bobowej 6, 38-350 Bobowa, Poland",49.7078913,20.9466741
Bobowa,Gimnazjum im. ks. Jana Reca w Siedliskach,"Siedliska 259, 38-324 Siedliska, Poland",49.7301507,20.9842971
Gorlice,Gimnazjum w Zespole Szkół w Ropicy Polskiej,"Ropica Polska 70, 38-300 Ropica Polska, Poland",49.6403748,21.143703
Gorlice,"Gimnazjum im. Komisji Edukacji Narodowej w Zagórzanach","38-333 Zagórzany, Poland",49.699866,21.1525135
