28,bocheński,Trzciana,Gimnazjum w Leszczynie,Leszczyna,,15,0%,73,6,67,7,51,6,54,6,15,65,5,15,42,0,,,0,,0,,0,
29,bocheński,Trzciana,Publiczne Gimnazjum w Kamionnej,Kamionna,,8,13%,53,2,52,4,38,4,47,4,8,53,3,8,38,0,,,0,,0,,0,
30,bocheński,Żegocina,Gimnazjum w Żegocinie,Żegocina,,28,4%,71,6,60,6,55,7,49,5,27,64,5,27,48,1,40,,0,,0,,0,
31,bocheński,Żegocina,Gimnazjum im. Jana Pawła II w Łąkcie Górnej,Łąkta Górna,,24,25%,81,8,73,8,59,7,61,8,21,55,4,21,36,3,60,,0,,0,,0,
32,bocheński,Żegocina,"Zespół Szkół w Rozdzielu - Gimnazjum im. Bł.Karoliny Kózkówny",Rozdziele,,17,24%,69,5,61,6,55,7,54,6,17,61,5,17,34,0,,,0,,0,,0,
33,brzeski,Borzęcin,"Zespół Szkół w Borzęcinie. Publiczne Gimnazjumimienia świętego Jana Pawła II w Borzęcinie",Borzęcin,,44,2%,66,4,56,5%,52,7,51,5,44,56,4,44,34,0,,,0,,0,,0,
34,brzeski,Borzęcin,"Publiczne Gimnazjum im. Kardynała StefanaWyszyńskiego w Przyborowie",Przyborów,,27,7%,76%,7,62,6,56,7,59,7,26,77,7,26,62,1,88,,1,65,0,,0,
35,brzeski,Borzęcin,Publiczne Gimnazjum w Bielczy,Bielcza,,16,6%,73,6,62,6,49,6,55,6,16,76,7,16,59,0,,,0,,0,,0,
36,brzeski,Brzesko,"Publiczne Gimnazjum nr 2 im. Janusza Korczakaw Brzesku",Brzesko,Czarnowiejska,188,10%,75,7,59,5,53,7,56,7,186,65,5,186,44,2,63,,1,48,0,,0,
37,brzeski,Brzesko,Publiczne Gimnazjum nr 1 w Brzesku,Brzesko,Głowackiego,115,15%,70,5,62,6,54,7,58,7,111,63,5,111,43,4,68,,2,56,0,,0,
38,brzeski,Brzesko,"Zespół Szkół w Jadownikach PubliczneGimnazjum im. Jana Pawła II",Jadowniki,Szkolna,67,10%,66,4,55,4,41,4,48,4,55,63,5,55,41,12,37,2,0,,0,,0,
39,brzeski,Brzesko,"Katolickie Gimnazjum im. św. Stanisława BM zeSzczepanowa",Brzesko,Browarna,11,18%,59,3,59,5,30,2,44,3,9,45,2,9,29,2,71,,0,,0,,0,
40,brzeski,Czchów,Publiczne Gimnazjum w Czchowie,Czchów,Sądecka,23,4%,70,5,57,5,53,7,55,6,21,56,4,20,39,2,70,,2,44,0,,0,
41,brzeski,Czchów,Publiczne Gimnazjum w Tworkowej,Tworkowa,,14,0%,70,5,54,4,50,6,55,6,14,67,5,14,41,0,,,0,,0,,0,
42,brzeski,Czchów,"Zespół Szkół i Przedszkola - Publiczne Gimnazjumw Złotej",Złota,,17,0%,69,5,49,3,57,7,52,5,17,57,4,17,40,0,,,0,,0,,0,
43,brzeski,Czchów,Publiczne Gimnazjum w Tymowej,Tymowa,,24,0%,72,6,50,3,39,4,52,5,23,58,4,23,40,1,78,,0,,0,,0,
44,brzeski,Czchów,Gimnazjum w Jurkowie,Jurków,,11,9%,80,8,62,6,58,7,63,8,11,69,6,11,51,0,,,0,,0,,0,
45,brzeski,Dębno,"Publiczne Gimnazjum im. Władysława Reymontaw Porąbce Uszewskiej","PorąbkaUszewska",,22,9%,79,8,64,7,56,7,52,5,22,70,6,22,51,0,,,0,,0,,0,
46,brzeski,Dębno,Publiczne Gimnazjum w Łysej Górze,Łysa Góra,,19,21%,71,6,57,5,51,6,53,6,19,63,5,19,41,0,,,0,,0,,0,
47,brzeski,Dębno,"Zespół Szkół - Publiczne Gimnazjum im.Kardynała Stefana Wyszyńskiego w WoliDębińskiej",Wola Dębińska,,76,12%,68,5,56,5,50,6,48,4,64,64,5,64,43,12,51,5,0,,0,,0,
48,brzeski,Dębno,Publiczne Gimnazjum w Sufczynie,Sufczyn,,13,23%,76,7,66,7,55,7,55,6,13,71,6,13,46,0,,,0,,0,,0,
49,brzeski,Dębno,"Młodzieżowy Ośrodek Socjoterapii w Łysej GórzeGimnazjum Specjalne",Łysa Góra,,18,0%,43,2,36,2,26,2,35,2,18,36,1,18,16,0,,,0,,0,,0,
50,brzeski,Gnojnik,"Publiczne Gimnazjum im. Królowej Jadwigi wUszwi",Uszew,,23,9%,67,5,59,5,44,5,51,5,23,53,3,23,26,0,,,0,,0,,0,
51,brzeski,Gnojnik,Publiczne Gimnazjum w Gnojniku,Gnojnik,,74,4%,71,6,58,5,43,5,47,4,67,54,3,67,33,7,38,2,0,,0,,0,
52,brzeski,Iwkowa,Publiczne Gimnazjum w Iwkowej,Iwkowa,,51,4%,72,6,58,5,49,6,55,6,51,57,4,51,36,0,,,0,,0,,0,
53,brzeski,Iwkowa,"Zespół Szkół - Publiczne Gimnazjum wWojakowej",Wojakowa,,23,0%,67,5,58,5,51,6,52,5,20,67,5,20,50,3,42,,0,,0,,0,
54,brzeski,Szczurowa,"Publiczne Gimnazjum im. Jędrzeja Cierniaka wZaborowie",Zaborów,,24,4%,64,4,57,5,32,3,47,4,23,50,3,23,31,1,63,,0,,0,,0,
55,brzeski,Szczurowa,"Publiczne Gimnazjum im. Władysława StanisławaReymonta w Szczurowej",Szczurowa,Rynek,53,11%,62,3,52,4,36,3,48,4,53,61,5,53,39,0,,,0,,0,,0,
