     mwg14      | dochod_bud_pra 
 30210526800427 |           5327
 30210526800431 |           6083
 30210526800432 |           6214
 30210526800433 |           6231
 30210526800434 |           6136
 30210526800435 |           6872
 30210526800501 |           6211
 30210526800502 |           5325
 30210526800503 |           4974
 30210526800504 |           5043
 30210526800505 |           5079
 30210526800601 |           5662
 30210526800602 |           5381
 30210526800603 |           5554
 30210526800604 |           5369
 30210526800701 |           5872
 30210526800702 |           5058
 30210526800703 |           4946
 30210526800704 |           5520
 30210526800811 |           5344
 30210526800812 |           4812
 30210526800813 |           4614
 30210526800814 |           6262
 30210526800815 |           6389
 30210526800821 |           6532
 30210526800822 |           7050
 30210526800823 |           6411
 30210526800824 |           5940
 30210526800825 |           5710
 30210526800831 |           4561
 30210526800832 |           5375
 30210526800833 |           6015
 30210526800834 |           5839
 30210526800835 |           5833
 30210526800836 |           5777
 30210526800837 |           5049
 30210526800901 |           5483
 30210526800902 |           4920
 30210526800903 |           5555
 30210526800904 |           5309
 30210526800905 |           5726
 30210526800906 |           4752
 30210526800907 |           5612
 30210626805811 |           4300
 30210626805812 |           4225
 30210626805813 |           4272
 30210626805814 |           4721
 30210626805821 |           5276
 30210626805822 |           5347
 30210626805823 |           5534
 30210626805824 |           4445
 30210626805901 |           4505
 30210626805902 |           4331
 30210626805903 |           4535
 30210626805904 |           4363
 30210626805905 |           4823
 30210626805906 |           4673
 30210626805907 |           4505
 30210626806001 |           4185
 30210626806002 |           4470
 30210626806003 |           4475
 30210626806004 |           4794
 30210626806005 |           4571
 30210626806101 |           4874
 30210626806102 |           4304
 30210626806201 |           4675
 30210626806202 |           4503
 30210726807711 |           5297
 30210726807712 |           5490
 30210726807713 |           5478
 30210726807714 |           6044
 30210726807715 |           6282
 30210726807721 |           4432
 30210726807722 |           5395
 30210726807723 |           5337
 30210726807724 |           5716
 30210726807731 |           4944
 30210726807732 |           4903
 30210726807733 |           4798
 30210726807811 |           4788
 30210726807812 |           4280
 30210726807813 |           5239
 30210726807814 |           4662
 30210726807815 |           5123
 30210726807821 |           4800
 30210726807822 |           5467
 30210726807823 |           5332
 30210726807824 |           5353
 30210726807831 |           5459
 30210726807832 |           5481
 30210726807833 |           5572
 30210726807834 |           6032
 30210726807835 |           5520
 30210726807841 |           5469
 30210726807842 |           4737
 30210726807843 |           5387
 30210726807844 |           4953
 30210726807901 |           4534
 30210726807902 |           4418
 30210726808011 |           6412
 30210726808012 |           5439
 30210726808013 |           5811
 30210726808014 |           5870
 30210726808021 |           4848
 30210726808022 |           4730
 30210726808023 |           5163
 30210726808024 |           4865
 30210726808025 |           4270
 30210726808026 |           4846
 30210726808111 |           4958
 30210726808112 |           6624
 30210726808113 |           5397
 30210726808114 |           6393
 30210726808115 |           5652
 30210726808116 |           4901
 30210726808121 |           4895
 30210726808122 |           5987
 30210726808123 |           6074
 30210726808124 |           6695
 30210726808125 |           5260
 30210726808126 |           7085
 30210726808127 |           4700
 30210726808201 |           5212
 30210726808202 |           4591
 30210726808203 |           4706
 30210726808301 |           5286
 30210726808401 |           4099
 30210726808402 |           4385
 30210726808403 |           5492
 30210726808501 |           5045
 30210726808502 |           4667
 30210726808503 |           5064
 30210726808504 |           4692
 30210726808611 |           5644
 30210726808612 |           5074
 30210726808613 |           5277
 30210726808614 |           5315
 30210726808621 |           5663
 30210726808622 |           5130
 30210726808623 |           4816
 30210726808624 |           5361
 30210726808625 |           5090
 30210726808626 |           5135
 30210726808801 |           5305
 30210726808802 |           5024
 30210846775201 |           3863
 30210846775202 |           3901
 30210846775301 |           3825
 30210846775302 |           4074
 30210846775303 |           4104
 30210846775304 |           4210
 30210846775711 |           4478
 30210856808901 |           3868
 30210856808902 |           3797
 30210856808903 |           3868
 30210856809101 |           4362
 30210856809102 |           4694
 30210856809103 |           5291
 30210856809104 |           5019
 30210856809105 |           4346
 30210856809106 |           3830
 30210856809107 |           3650
 30210856809203 |           3659
 30210946775801 |           4274
 30210956809501 |           5241
 30210956809502 |           3897
 30210956809503 |           5779
 30210956809504 |           5135
 30210956809505 |           6067
 30210956809506 |           4140
 30210956809507 |           4079
 30210956809611 |           5551
 30210956809612 |           5135
 30210956809613 |           5266
 30210956809614 |           6142
 30210956809615 |           6857
 30210956809621 |           5466
 30210956809622 |           5635
 30210956809623 |           6403
 30210956809624 |           6081
 30210956809625 |           5818
 30210956809626 |           5854
 30210956809627 |           6447
 30210956809628 |           5228
 30210956809631 |           5288
 30210956809632 |           5695
 30210956809633 |           5547
 30210956809634 |           5767
 30210956809701 |           4406
 30210956809702 |           4788
 30210956809703 |           4794
 30210956809704 |           5162
 30210956809705 |           4813
 30210956809706 |           4569
 30210956809707 |           4198
 30210956809801 |           5414
 30210956809802 |           5074
 30210956809803 |           5143
 30210956809804 |           5181
 30210956809805 |           5017
 30210956809903 |           5578
 30211046778401 |           3784
 30211046778402 |           3702
 30211046778403 |           4041
 30211046778404 |           3940
 30211046778405 |           4062
 30211046778406 |           3947
 30211046778501 |           3883
 30211046778502 |           3923
 30211046778503 |           3804
 30211046778504 |           3870
 30211046778505 |           3574
 30211046778601 |           4053
 30211046778602 |           3872
 30211046778603 |           4004
 30211046778604 |           4035
 30211046778701 |           3945
 30211046778702 |           3880
 30211046778703 |           3995
 30211046778704 |           3901
 30211046778705 |           3901
 30211046778706 |           3819
 30211046778801 |           4239
 30211046778802 |           4264
 30211046778803 |           4187
 30211046778804 |           4200
 30211046778805 |           4109
 30211046778901 |           4185
 30211046778902 |           4265
 30211046778903 |           4346
 30211046779001 |           3992
 30211046779002 |           4318
 30211046779003 |           4220
 30211046779004 |           4084
 30211046779005 |           3944
 30211046779111 |           4242
 30211046779114 |           3895
 30211046779115 |           4391
 30211046779123 |           3856
 30211046779124 |           4202
 30211046779201 |           3906
 30211046779203 |           3745
 30211056816211 |           4082
 30211056816212 |           4092
 30211056816213 |           4061
 30211056816214 |           3943
 30211056816215 |           4679
 30211056816216 |           4464
 30211056816217 |           4822
 30211056816218 |           4286
 30211056816221 |           3969
 30211056816222 |           3849
 30211056816223 |           3763
 30211056816301 |           4199
 30211056816302 |           4306
 30211056816303 |           4194
 30211056816304 |           3985
 30211056816401 |           4231
 30211056816402 |           4160
 30211056816403 |           4232
 30211056816404 |           4142
 30211056816405 |           4334
 30211056816406 |           3839
 30211056816407 |           4071
 30211056816408 |           4137
 30211056816601 |           4016
 30211056816602 |           4016
 30211056816603 |           3945
 30211056817001 |           3877
 30211056817003 |           3877
 30211056817101 |           3903
 30211056817104 |           4084
 30211056817105 |           3894
 30211056817106 |           4016
 30211146779301 |           4717
 30211146779303 |           4618
 30211146779304 |           4618
 30211146779305 |           4617
 30211146779306 |           4618
 30211146779307 |           4618
 30211146779401 |           4462
 30211146779402 |           4704
 30211146779403 |           5005
 30211146779404 |           4813
 30211146779405 |           4813
 30211146779406 |           5099
 30211146779407 |           4935
 30211146779408 |           4777
 30211146779501 |           4557
 30211146779502 |           4740
 30211146779601 |           4920
 30211146779701 |           4766
 30211146779801 |           4709
 30211146779911 |           4558
 30211146779912 |           4452
 30211146779913 |           4366
 30211146779914 |           4556
 30211146779915 |           4494
 30211146779916 |           5273
 30211146779917 |           4987
 30211146779918 |           4813
 30211146779921 |           4885
 30211146779922 |           4769
 30211146779923 |           4690
 30211146779924 |           4616
 30211146779925 |           4806
 30211146779926 |           4821
 30211146779931 |           4865
 30211146779932 |           4829
 30211146779933 |           4619
 30211146779934 |           4668
 30211156817405 |           4347
 30211156817406 |           4327
 30211156817801 |           4261
 30211156817802 |           4341
 30211156817803 |           4315
 30211156817804 |           4517
 30211156817903 |           4281
 30211156817905 |           4473
 30211156817906 |           4281
 30211256824901 |           4024
 30211256824902 |           4364
 30211256824904 |           4138
 30211256824905 |           4138
 30211256824906 |           3975
 30211256825201 |           3885
 30211256825202 |           4180
 30211256825203 |           4053
 30211256825204 |           4136
 30211256825205 |           4057
 30211256825301 |           4266
 30211256825302 |           4432
 30211256825303 |           4366
 30211256825304 |           4186
 30211256825305 |           4446
 30211256825306 |           4701
 30211256825307 |           4063
 30211256825308 |           4266
 30211256825401 |           4645
 30211256825404 |           3759
 30211326826601 |           3910
 30211326826602 |           4315
 30211326826603 |           4416
 30211326826604 |           5452
 30211326826605 |           4011
 30211326826606 |           5369
 30211326826701 |           4176
 30211326826702 |           4620
 30211326826704 |           4143
 30211326826705 |           4529
 30211326826706 |           4255
 30211326826707 |           5735
 30211326826811 |           5503
 30211326826812 |           4594
 30211326826813 |           4851
 30211326826814 |           4447
 30211326826815 |           4416
 30211326826816 |           4589
 30211326826817 |           5022
 30211326826821 |           4550
 30211326826822 |           4181
 30211326826823 |           4307
 30211326826824 |           4459
 30211326826825 |           5895
 30211326826826 |           5793
 30211326826827 |           5831
 30211326826831 |           6152
 30211326826832 |           6136
 30211326826901 |           5249
 30211326826902 |           4280
 30211326826903 |           4084
 30211326827001 |           4616
 30211326827002 |           4437
 30211326827003 |           4399
 30211326827004 |           4963
 30211326827005 |           4616
 30211326827111 |           4425
 30211326827112 |           4425
 30211326827121 |           4733
 30211326827122 |           4481
 30211326827123 |           4495
 30211326827124 |           5078
 30211326827125 |           5255
 30211326827131 |           4996
 30211326827132 |           4506
 30211326827133 |           4787
 30211326827134 |           4815
 30211446786202 |           3955
 30211446786301 |           4105
 30211446786303 |           4072
 30211446786304 |           4147
 30211446786401 |           4481
 30211446786402 |           4422
 30211456828706 |           3776
 30211456829101 |           3767
 30211456829102 |           3764
 30211456829103 |           4033
 30211456829104 |           3351
 30211456829105 |           3393
 30211456829401 |           3534
 30211526830001 |           4536
 30211526830002 |           4602
 30211526830003 |           4930
 30211526830004 |           5123
 30211526830005 |           5094
 30211526830006 |           5122
 30211526830101 |           5111
 30211526830102 |           5053
 30211526830103 |           4655
 30211526830104 |           5183
 30211526830105 |           5372
 30211526830106 |           5279
 30211526830107 |           6452
 30211526830201 |           5278
 30211526830202 |           5760
 30211526830203 |           5351
 30211526830204 |           4613
 30211526830311 |           4382
 30211526830312 |           5167
 30211526830313 |           5016
 30211526830314 |           5250
 30211526830315 |           4494
 30211526830321 |           5179
 30211526830322 |           5626
 30211526830323 |           5688
 30211526830324 |           6255
 30211526830325 |           6238
 30211526830411 |           4628
 30211526830412 |           5089
 30211526830413 |           5046
 30211526830414 |           4813
 30211526830421 |           5126
 30211526830422 |           5408
 30211526830423 |           5179
 30211526830424 |           5318
 30211526830431 |           4606
 30211526830432 |           6063
 30211526830433 |           5444
 30211526830434 |           4992
 30211526830435 |           6277
 30211526830436 |           5346
 30211526830437 |           5248
 30211526830441 |           5042
 30211526830442 |           5704
 30211526830443 |           5616
 30211526830444 |           4827
 30211526830445 |           6103
 30211526830446 |           4894
 30211646786601 |           4119
 30211646786602 |           4059
 30211646786603 |           3971
 30211646786604 |           4110
 30211646786605 |           4110
 30211646786606 |           4110
 30211646786711 |           4199
 30211646786712 |           4340
 30211646786713 |           4383
 30211646786714 |           4351
 30211646786715 |           4675
 30211646786721 |           4210
 30211646786722 |           4324
 30211646786723 |           4363
 30211646786724 |           4294
 30211646786725 |           5145
 30211646786731 |           4255
 30211646786732 |           4298
 30211646786733 |           4630
 30211646786734 |           4339
 30211646786735 |           4407
 30211646786736 |           4341
 30211646786741 |           4301
 30211646786742 |           4551
 30211646786743 |           4120
 30211646786744 |           4276
 30211646786745 |           4152
 30211646786746 |           4319
 30211646786747 |           4418
 30211646786751 |           4185
 30211646786752 |           4187
 30211646786753 |           4272
 30211646786754 |           4268
 30211646786755 |           4136
 30211646786761 |           4273
 30211646786762 |           3989
 30211646786763 |           4047
 30211646786764 |           4117
 30211646786765 |           4128
 30211646786766 |           4032
 30211646786801 |           4360
 30211646786802 |           4300
 30211646786803 |           4137
 30211646786804 |           4369
 30211646786805 |           4389
 30211646786806 |           4207
 30211646786807 |           4533
 30211646786901 |           4168
 30211646786902 |           4042
 30211646786903 |           4262
 30211646786904 |           4037
 30211646786905 |           4157
 30211646786906 |           4097
 30211646786907 |           4167
 30211646787001 |           4492
 30211646787002 |           4099
 30211646787003 |           3961
 30211646787004 |           4316
 30211646787005 |           4793
 30211646787101 |           4024
 30211646787102 |           3904
 30211646787103 |           4179
 30211646787104 |           4088
 30211646787105 |           4179
 30211646787106 |           4412
 30211646787107 |           4416
 30211646787211 |           4318
 30211646787212 |           4214
 30211646787213 |           4379
 30211646787214 |           4254
 30211646787221 |           4627
 30211646787222 |           4707
 30211646787223 |           4656
 30211646787224 |           4943
 30211646787225 |           4563
 30211646787231 |           4492
 30211646787232 |           4587
 30211646787233 |           4976
 30211646787234 |           4516
 30211646787241 |           5053
 30211646787242 |           5200
 30211646787243 |           5200
 30211646787244 |           5222
 30211646787311 |           4181
 30211646787312 |           4239
 30211646787313 |           4276
 30211646787314 |           4165
 30211646787315 |           4537
 30211646787316 |           4594
 30211646787317 |           4520
 30211646787321 |           4526
 30211646787322 |           4447
 30211646787323 |           4560
 30211646787324 |           4666
 30211646787325 |           4553
 30211646787326 |           4423
 30211646787327 |           4621
 30211646787331 |           5321
 30211646787332 |           5153
 30211646787333 |           5325
 30211646787334 |           5100
 30211646787335 |           5763
 30211646787411 |           4502
 30211646787412 |           4779
 30211646787413 |           4342
 30211646787414 |           5145
 30211646787421 |           4369
 30211646787422 |           5151
 30211646787423 |           5585
 30211646787424 |           4529
 30211656830601 |           4077
 30211656830602 |           3885
 30211656830603 |           4162
 30211656830604 |           4621
 30211656830605 |           4187
 30211656830711 |           4553
 30211656830712 |           4416
 30211656830713 |           4614
 30211656830714 |           4603
 30211656830721 |           4701
 30211656830722 |           5140
 30211656830723 |           4593
