   mwg14_2015   | kod_pocztowy |      nazwa_miejsc      | kod_miejsc |   nazwa_cz_miejsc   | kod_cz_miejsc | kod_gminy | kod_gminy_distr |   nazwa_woj   |  nazwa_pow  |      nazwa_gmi      | segment_gminy 
 12190553981421 | 32-002       | KOKOTÓW                | 0340820    |                     |               | 1219055   | 1219055         | MAŁOPOLSKIE   | WIELICKI    | WIELICZKA           | A2
 12190553981321 | 32-002       | KOKOTÓW                | 0340820    |                     |               | 1219055   | 1219055         | MAŁOPOLSKIE   | WIELICKI    | WIELICZKA           | A2
 12190553981322 | 32-002       | KOKOTÓW                | 0340820    |                     |               | 1219055   | 1219055         | MAŁOPOLSKIE   | WIELICKI    | WIELICZKA           | A2
 12190553981323 | 32-002       | KOKOTÓW                | 0340820    |                     |               | 1219055   | 1219055         | MAŁOPOLSKIE   | WIELICKI    | WIELICZKA           | A2
 12190553981324 | 32-002       | KOKOTÓW                | 0340820    |                     |               | 1219055   | 1219055         | MAŁOPOLSKIE   | WIELICKI    | WIELICZKA           | A2
 12190553981325 | 32-002       | KOKOTÓW                | 0340820    |                     |               | 1219055   | 1219055         | MAŁOPOLSKIE   | WIELICKI    | WIELICZKA           | A2
 12190553981525 | 32-020       | KOKOTÓW                | 0340820    |                     |               | 1219055   | 1219055         | MAŁOPOLSKIE   | WIELICKI    | WIELICZKA           | A2
 12190553982407 | 32-020       | KOŹMICE MAŁE           | 0340902    |                     |               | 1219055   | 1219055         | MAŁOPOLSKIE   | WIELICKI    | WIELICZKA           | A2
 12190553982601 | 32-020       | KOŹMICE MAŁE           | 0340902    |                     |               | 1219055   | 1219055         | MAŁOPOLSKIE   | WIELICKI    | WIELICZKA           | A2
 12190553982301 | 32-020       | KOŹMICE WIELKIE        | 0340948    |                     |               | 1219055   | 1219055         | MAŁOPOLSKIE   | WIELICKI    | WIELICZKA           | A2
 12190553982304 | 32-020       | KOŹMICE WIELKIE        | 0340948    |                     |               | 1219055   | 1219055         | MAŁOPOLSKIE   | WIELICKI    | WIELICZKA           | A2
 12190553982302 | 32-020       | KOŹMICE WIELKIE        | 0340948    |                     |               | 1219055   | 1219055         | MAŁOPOLSKIE   | WIELICKI    | WIELICZKA           | A2
 12190553982303 | 32-020       | KOŹMICE WIELKIE        | 0340948    |                     |               | 1219055   | 1219055         | MAŁOPOLSKIE   | WIELICKI    | WIELICZKA           | A2
 12190553982103 | 32-020       | LEDNICA GÓRNA          | 0341037    |                     |               | 1219055   | 1219055         | MAŁOPOLSKIE   | WIELICKI    | WIELICZKA           | A2
 12190553982101 | 32-020       | LEDNICA GÓRNA          | 0341037    |                     |               | 1219055   | 1219055         | MAŁOPOLSKIE   | WIELICKI    | WIELICZKA           | A2
 12190553982405 | 32-020       | MIETNIÓW               | 0341110    |                     |               | 1219055   | 1219055         | MAŁOPOLSKIE   | WIELICKI    | WIELICZKA           | A2
 12190553982402 | 32-020       | PAWLIKOWICE            | 0341155    |                     |               | 1219055   | 1219055         | MAŁOPOLSKIE   | WIELICKI    | WIELICZKA           | A2
 12190553982203 | 32-020       | PODSTOLICE             | 0341244    |                     |               | 1219055   | 1219055         | MAŁOPOLSKIE   | WIELICKI    | WIELICZKA           | A2
 12190553981602 | 32-002       | STRUMIANY              | 0341480    |                     |               | 1219055   | 1219055         | MAŁOPOLSKIE   | WIELICKI    | WIELICZKA           | A2
 12190553981706 | 32-020       | SUŁKÓW                 | 0341505    |                     |               | 1219055   | 1219055         | MAŁOPOLSKIE   | WIELICKI    | WIELICZKA           | A2
 12190553981702 | 32-020       | SUŁKÓW                 | 0341505    |                     |               | 1219055   | 1219055         | MAŁOPOLSKIE   | WIELICKI    | WIELICZKA           | A2
